scenario,weights_normalized,pooled_spearman_vs_baseline,pooled_relative_mechanical_band_agreement_vs_baseline,within_pitcher_spearman_vs_baseline,within_pitcher_relative_mechanical_band_agreement_vs_baseline,n_pooled_compared,n_within_compared
baseline_investigator_weights,elbow_ang_vel_max_ffc_to_release=0.3000; wrist_speed_max_ffc_to_release=0.2000; hip_shoulder_sep_vel_max_ffc_to_release=0.2000; trunk_tilt_vel_max_ffc_to_release=0.1500; trunk_tilt_deg_at_release=0.1500,1.0,1.0,1.0,1.0,156,156
equal_weights,elbow_ang_vel_max_ffc_to_release=0.2000; wrist_speed_max_ffc_to_release=0.2000; hip_shoulder_sep_vel_max_ffc_to_release=0.2000; trunk_tilt_vel_max_ffc_to_release=0.2000; trunk_tilt_deg_at_release=0.2000,0.9645461585876626,0.9102564102564102,0.974718275355218,0.8589743589743589,156,156
elbow_ang_vel_max_ffc_to_release_plus_20pct,elbow_ang_vel_max_ffc_to_release=0.3396; wrist_speed_max_ffc_to_release=0.1887; hip_shoulder_sep_vel_max_ffc_to_release=0.1887; trunk_tilt_vel_max_ffc_to_release=0.1415; trunk_tilt_deg_at_release=0.1415,0.9957231591092284,0.9487179487179488,0.9955651088176256,0.9743589743589745,156,156
elbow_ang_vel_max_ffc_to_release_minus_20pct,elbow_ang_vel_max_ffc_to_release=0.2553; wrist_speed_max_ffc_to_release=0.2128; hip_shoulder_sep_vel_max_ffc_to_release=0.2128; trunk_tilt_vel_max_ffc_to_release=0.1596; trunk_tilt_deg_at_release=0.1596,0.9930363041519812,0.9615384615384616,0.99557143082929,0.9615384615384616,156,156
wrist_speed_max_ffc_to_release_plus_20pct,elbow_ang_vel_max_ffc_to_release=0.2885; wrist_speed_max_ffc_to_release=0.2308; hip_shoulder_sep_vel_max_ffc_to_release=0.1923; trunk_tilt_vel_max_ffc_to_release=0.1442; trunk_tilt_deg_at_release=0.1442,0.9975375764568284,0.9871794871794872,0.9977525248534084,0.9615384615384616,156,156
wrist_speed_max_ffc_to_release_minus_20pct,elbow_ang_vel_max_ffc_to_release=0.3125; wrist_speed_max_ffc_to_release=0.1667; hip_shoulder_sep_vel_max_ffc_to_release=0.2083; trunk_tilt_vel_max_ffc_to_release=0.1562; trunk_tilt_deg_at_release=0.1562,0.9980338543724612,0.9743589743589745,0.9973384330894088,0.9551282051282052,156,156
hip_shoulder_sep_vel_max_ffc_to_release_plus_20pct,elbow_ang_vel_max_ffc_to_release=0.2885; wrist_speed_max_ffc_to_release=0.1923; hip_shoulder_sep_vel_max_ffc_to_release=0.2308; trunk_tilt_vel_max_ffc_to_release=0.1442; trunk_tilt_deg_at_release=0.1442,0.9969622733953944,0.9743589743589745,0.9970318155236996,0.935897435897436,156,156
hip_shoulder_sep_vel_max_ffc_to_release_minus_20pct,elbow_ang_vel_max_ffc_to_release=0.3125; wrist_speed_max_ffc_to_release=0.2083; hip_shoulder_sep_vel_max_ffc_to_release=0.1667; trunk_tilt_vel_max_ffc_to_release=0.1562; trunk_tilt_deg_at_release=0.1562,0.9966777828705092,0.9743589743589745,0.9970128494887072,0.9615384615384616,156,156
trunk_tilt_vel_max_ffc_to_release_plus_20pct,elbow_ang_vel_max_ffc_to_release=0.2913; wrist_speed_max_ffc_to_release=0.1942; hip_shoulder_sep_vel_max_ffc_to_release=0.1942; trunk_tilt_vel_max_ffc_to_release=0.1748; trunk_tilt_deg_at_release=0.1456,0.9986660555388724,1.0,0.9984827172006132,0.9807692307692308,156,156
trunk_tilt_vel_max_ffc_to_release_minus_20pct,elbow_ang_vel_max_ffc_to_release=0.3093; wrist_speed_max_ffc_to_release=0.2062; hip_shoulder_sep_vel_max_ffc_to_release=0.2062; trunk_tilt_vel_max_ffc_to_release=0.1237; trunk_tilt_deg_at_release=0.1546,0.9981792606407358,0.9743589743589745,0.9983373109323386,0.9615384615384616,156,156
trunk_tilt_deg_at_release_plus_20pct,elbow_ang_vel_max_ffc_to_release=0.2913; wrist_speed_max_ffc_to_release=0.1942; hip_shoulder_sep_vel_max_ffc_to_release=0.1942; trunk_tilt_vel_max_ffc_to_release=0.1456; trunk_tilt_deg_at_release=0.1748,0.9987261146496816,1.0,0.9990232491978946,0.9807692307692308,156,156
trunk_tilt_deg_at_release_minus_20pct,elbow_ang_vel_max_ffc_to_release=0.3093; wrist_speed_max_ffc_to_release=0.2062; hip_shoulder_sep_vel_max_ffc_to_release=0.2062; trunk_tilt_vel_max_ffc_to_release=0.1546; trunk_tilt_deg_at_release=0.1237,0.9982835738331935,0.9871794871794872,0.9986218014572236,0.9615384615384616,156,156
